Package            Current   Wanted   Latest  Location                        Depended by
chai                 5.3.3    5.3.3    6.2.2  node_modules/chai               crystvis-js
clean-jsdoc-theme    4.3.3    4.3.3    5.1.1  node_modules/clean-jsdoc-theme  crystvis-js
esbuild            0.25.12  0.25.12   0.28.2  node_modules/esbuild            crystvis-js
eslint              9.39.5   9.39.5   10.9.0  node_modules/eslint             crystvis-js
glob                11.1.0   11.1.0   13.0.6  node_modules/glob               crystvis-js
jquery               3.7.1    3.7.1    4.0.0  node_modules/jquery             crystvis-js
jsdom               27.4.0   27.4.0   29.1.1  node_modules/jsdom              crystvis-js
mathjs              14.9.1   14.9.1   15.2.0  node_modules/mathjs             crystvis-js
mocha               11.7.6   11.8.0   11.8.0  node_modules/mocha              crystvis-js
three              0.178.0  0.178.0  0.185.1  node_modules/three              crystvis-js
